Gender,Age,Marital_Status,Educational_Level,Monthly_Income,Family_Size,ECP_Name,ECP_Use_time,Purchase_Qty,ECP_Source,UXQ_01,UXQ_02,UXQ_03,UXQ_04,UXQ_05,UXQ_06,UXQ_07,UXQ_08,UXQ_09,UXQ_10,UXQ_11,UXQ_12,UXQ_13,UXQ_14,UXQ_15,UXQ_16,UXQ_17,UXQ_18,UXQ_19,UXQ_20,UXQ_21,UXQ_22,UXQ_23,UXQ_24,UXQ_25,UXQ_26,UXQ_27,UXQ_28,UXQ_29,UXQ_30,UXQ_31,UXQ_32,UXQ_33,UXQ_34,UXQ_35,UXQ_36,UXQ_37,UXQ_38,UXQ_39,UXQ_40,UXQ_41,,
Male,40 - 49 years old,Single,Master,800 - 999,5 - 7,ebay,7 - 9 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly disagree,,
Male,40 - 49 years old,Single,Higher Diploma,500 - 799,5 - 7,OpenSooq,7 - 9 times/year,7 - 9,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Disagree,,
Female,40 - 49 years old,Single,PHD,800 - 999,5 - 7,Amazon,4 - 6 times/year,4 - 6,"Social media applications like Facebook, Instagram and others",Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,,
Male,30 - 39 years old,Married,Master,200 - 499,2 - 4,Esty,10 or more times/year,1 - 3,From online advertisement,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,,
Female,30 - 39 years old,Single,Master,200 - 499,5 - 7,Others,1 - 3 times/year,1 - 3,Search engines like google,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,
Female,20 - 29 years old,Single,Master,200 - 499,5 - 7,Others,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,
Male,40 - 49 years old,Married,Higher Diploma,200 - 499,5 - 7,Others,4 - 6 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,
Male,20 - 29 years old,Single,Secondary certificate,500 - 799,2 - 4,Esty,1 - 3 times/year,1 - 3,Referred from other website,Strongly Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly disagree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Disagree,,
Female,20 - 29 years old,Married,Secondary certificate,200 - 499,5 - 7,Others,4 - 6 times/year,4 - 6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,,
Male,20 - 29 years old,Married,Master,800 - 999,More than 7,Esty,10 or more times/year,10 or more,Search engines like google,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,,
Female,60 years old or more,Married,Higher Diploma,200 - 499,More than 7,Amazon,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,,
Male,30 - 39 years old,Married,Bachelor,200 - 499,More than 7,Amazon,1 - 3 times/year,1 - 3,Other,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,
Female,40 - 49 years old,Married,Bachelor,200 - 499,More than 7,ebay,4 - 6 times/year,1 - 3,Other,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,
Male,30 - 39 years old,Married,Bachelor,200 - 499,5 - 7,Amazon,4 - 6 times/year,1 - 3,From online advertisement,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,
Female,50 - 59 years old,Married,Bachelor,800 - 999,5 - 7,ebay,7 - 9 times/year,1 - 3,From online advertisement,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,
Male,50 - 59 years old,Married,Higher Diploma,200 - 499,5 - 7,Amazon,1 - 3 times/year,1 - 3,From online advertisement,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,,
Male,40 - 49 years old,Married,Higher Diploma,200 - 499,5 - 7,Cdiscount,7 - 9 times/year,1 - 3,Search engines like google,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly disagree,Strongly Agree,Agree,Agree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,,
Male,50 - 59 years old,Married,Diploma,200 - 499,More than 7,Modanisa,7 - 9 times/year,7 - 9,Search engines like google,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,,
