Participant_ID,Gender,Age,Marital_Status,Educational_Level,Monthly_Income,Family_Size,ECP_Name,ECP_Use_times_yr,Purchase_Qty,ECP_Source,Usability_Navigation,Content_and_Clarity,User_Engagement,Functionality_Features,User_Cantered_Design,Result
29,Male,20,Single,Bachelor,800,2,Modanisa,9,9,From online advertisement,Agree,Strongly Agree,Disagree,Disagree,Neutral,Disagree
30,Male,40,Single,Master,800,5,ebay,9,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
31,Male,40,Single,Higher Diploma,500,5,OpenSooq,9,9,"Social media applications like Facebook, Instagram and others",Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree
32,Female,40,Single,PHD,800,5,Amazon,6,6,"Social media applications like Facebook, Instagram and others",Neutral,Strongly Agree,Neutral,Agree,Agree,Agree
33,Male,30,Married,Master,200,2,Esty,10,3,From online advertisement,Neutral,Agree,Agree,Neutral,Agree,Agree
34,Female,30,Single,Master,200,5,Others,3,3,Search engines like google,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
35,Female,20,Single,Master,200,5,Others,3,3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
36,Male,40,Married,Higher Diploma,200,5,Others,6,3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
37,Male,20,Single,Secondary certificate,500,2,Esty,3,3,Referred from other website,Agree,Strongly Agree,Agree,Disagree,Agree,Agree
38,Female,20,Married,Secondary certificate,200,5,Others,6,6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Neutral,Agree
39,Male,20,Married,Master,800,7,Esty,10,10,Search engines like google,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
40,Female,60,Married,Higher Diploma,200,7,Amazon,3,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Strongly Agree,Agree,Disagree,Agree
41,Male,30,Married,Bachelor,200,7,Amazon,3,3,Other,Neutral,Neutral,Agree,Agree,Neutral,Neutral
42,Female,40,Married,Bachelor,200,7,ebay,6,3,Other,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
43,Male,30,Married,Bachelor,200,5,Amazon,6,3,From online advertisement,Agree,Agree,Agree,Agree,Agree,Agree
44,Female,50,Married,Bachelor,800,5,ebay,9,3,From online advertisement,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree
45,Male,50,Married,Higher Diploma,200,5,Amazon,3,3,From online advertisement,Agree,Agree,Neutral,Agree,Agree,Agree
46,Male,40,Married,Higher Diploma,200,5,Cdiscount,9,3,Search engines like google,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree
47,Male,50,Married,Diploma,200,7,Modanisa,9,9,Search engines like google,Neutral,Disagree,Strongly disagree,Disagree,Agree,Disagree
48,Female,30,Married,Bachelor,200,7,Amazon,6,3,From online advertisement,Neutral,Agree,Agree,Agree,Agree,Agree
49,Female,20,Married,Higher Diploma,200,2,Shein,3,9,Search engines like google,Agree,Disagree,Disagree,Agree,Agree,Agree
50,Female,30,Single,Bachelor,200,2,Shein,3,3,"Social media applications like Facebook, Instagram and others",Neutral,Agree,Agree,Neutral,Neutral,Neutral
51,Male,30,Single,Master,500,2,OpenSooq,10,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Neutral,Agree,Agree
52,Male,40,Single,Secondary certificate,500,2,Esty,3,10,"Social media applications like Facebook, Instagram and others",Agree,Agree,Disagree,Agree,Agree,Agree
53,Male,30,Married,Higher Diploma,800,2,Cdiscount,9,3,From online advertisement,Agree,Agree,Agree,Strongly Agree,Agree,Agree
54,Female,50,Single,Diploma,1000,2,OpenSooq,6,3,Referred from other website,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
55,Male,60,Married,Higher Diploma,800,7,Shein,3,6,Search engines like google,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
